City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,Upernavik,72.7868,-56.1549,7.32,64,0,3.3,GL,2021-08-05 19:49:29
125,Kolda,12.8833,-14.95,30.17,74,20,0.0,SN,2021-08-05 19:51:34
126,San Patricio,28.017,-97.5169,29.93,52,100,2.93,US,2021-08-05 19:51:34
127,Thompson,55.7435,-97.8558,18.09,45,75,3.09,CA,2021-08-05 19:51:35
128,Provideniya,64.3833,-173.3,10.06,71,0,5.0,RU,2021-08-05 19:51:35
129,Sinnamary,5.3833,-52.95,27.5,81,44,2.41,GF,2021-08-05 19:51:35
130,Lieksa,63.3167,30.0167,13.41,68,14,0.94,FI,2021-08-05 19:51:36
131,Kuusamo,65.9667,29.1833,13.02,82,0,1.54,FI,2021-08-05 19:51:36
132,Acapulco,16.8634,-99.8901,30.33,64,89,2.96,MX,2021-08-05 19:51:36
133,Atar,20.5169,-13.0499,39.54,13,0,4.71,MR,2021-08-05 19:51:36
134,Cape Town,-33.9258,18.4232,14.49,81,0,0.45,ZA,2021-08-05 19:51:37
135,Tsogni,-2.7942,10.0988,22.82,89,16,2.97,GA,2021-08-05 19:51:37
136,Hambantota,6.1241,81.1185,26.06,83,100,8.04,LK,2021-08-05 19:49:37
137,Bengkulu,-3.8004,102.2655,24.04,90,96,1.64,ID,2021-08-05 19:51:37
138,Wadi Musa,30.3222,35.4793,25.97,23,9,2.01,JO,2021-08-05 19:51:38
139,Hamilton,39.1834,-84.5333,30.61,50,40,0.45,US,2021-08-05 19:50:30
140,Aykhal,66.0,111.5,13.15,59,0,3.62,RU,2021-08-05 19:50:28
141,Tocopilla,-22.092,-70.1979,19.51,58,12,2.69,CL,2021-08-05 19:51:38
142,Acari,-15.4311,-74.6158,23.05,58,15,3.83,PE,2021-08-05 19:51:38
143,Gamboula,4.1178,15.1393,20.87,94,80,1.9,CF,2021-08-05 19:51:38
144,Buchanan,5.8808,-10.0467,25.98,79,100,4.96,LR,2021-08-05 19:51:39
145,Labuhan,-6.8844,112.2051,24.47,85,79,3.16,ID,2021-08-05 19:50:19
146,Longyearbyen,78.2186,15.6401,5.91,87,40,4.63,SJ,2021-08-05 19:48:05
147,Kansk,56.2017,95.7175,16.01,97,100,2.03,RU,2021-08-05 19:51:39
148,Liwale,-9.7667,37.9333,20.85,68,79,2.34,TZ,2021-08-05 19:51:40
149,Saint-Philippe,-21.3585,55.7679,19.75,81,43,4.99,RE,2021-08-05 19:51:40
150,Kyzyl-Suu,42.3414,78.0056,16.3,47,48,1.93,KG,2021-08-05 19:51:40
151,Port Elizabeth,-33.918,25.5701,16.16,82,40,6.69,ZA,2021-08-05 19:51:40
152,Kahului,20.8947,-156.47,28.01,76,20,7.72,US,2021-08-05 19:51:41
153,Zakamensk,50.3741,103.2863,12.16,95,93,0.3,RU,2021-08-05 19:51:41
154,Mahebourg,-20.4081,57.7,21.16,68,40,5.14,MU,2021-08-05 19:50:13
155,Simao,22.7886,100.9748,19.6,98,100,1.08,CN,2021-08-05 19:51:41
156,Valparaiso,-33.0393,-71.6273,15.8,73,75,2.06,CL,2021-08-05 19:49:41
157,Kismayo,-0.3582,42.5454,24.53,82,57,7.69,SO,2021-08-05 19:51:42
158,Lompoc,34.6391,-120.4579,26.84,67,1,6.69,US,2021-08-05 19:50:50
159,Puerto Ayora,-0.7393,-90.3518,26.98,84,87,2.24,EC,2021-08-05 19:50:22
160,Skibbereen,51.55,-9.2667,16.89,91,58,10.96,IE,2021-08-05 19:51:42
161,Geraldton,-28.7667,114.6,6.23,87,0,3.09,AU,2021-08-05 19:51:43
162,Jamestown,42.097,-79.2353,26.72,50,20,3.09,US,2021-08-05 19:51:43
163,Bairiki,1.3292,172.9752,27.0,69,20,4.12,KI,2021-08-05 19:51:43
164,Iracoubo,5.4802,-53.2011,27.81,78,23,2.67,GF,2021-08-05 19:51:43
165,Tuktoyaktuk,69.4541,-133.0374,15.0,77,75,3.6,CA,2021-08-05 19:51:44
166,Hami,42.8,93.45,29.49,21,93,6.73,CN,2021-08-05 19:50:57
167,Shahreza,32.0339,51.8794,24.51,28,99,1.76,IR,2021-08-05 19:51:44
168,Bakchar,57.0186,82.0711,15.0,98,100,1.45,RU,2021-08-05 19:51:44
169,Ivanteyevka,55.9711,37.9208,17.19,90,74,1.34,RU,2021-08-05 19:51:45
170,Paamiut,61.994,-49.6678,7.12,95,100,14.31,GL,2021-08-05 19:51:45
171,Srednekolymsk,67.45,153.6833,5.8,80,100,4.3,RU,2021-08-05 19:49:13
172,Bonavista,48.6499,-53.1147,28.0,63,74,5.21,CA,2021-08-05 19:51:45
173,Coria,39.9879,-6.5377,29.14,36,0,2.77,ES,2021-08-05 19:51:46
174,Huarmey,-10.0681,-78.1522,20.86,72,2,5.13,PE,2021-08-05 19:51:46
175,Cherskiy,68.75,161.3,8.6,77,49,2.11,RU,2021-08-05 19:48:33
176,Mogadishu,2.0371,45.3438,24.72,84,100,7.63,SO,2021-08-05 19:51:05
177,Sambava,-14.2667,50.1667,21.08,84,99,6.76,MG,2021-08-05 19:51:46
178,Ribeira Grande,38.5167,-28.7,25.22,78,40,7.72,PT,2021-08-05 19:51:47
179,Cherdyn,60.403,56.4787,11.83,97,3,2.0,RU,2021-08-05 19:51:47
180,Barrow,71.2906,-156.7887,5.01,90,90,8.23,US,2021-08-05 19:51:47
181,Aswan,24.0934,32.907,38.61,16,0,2.06,EG,2021-08-05 19:51:48
182,Lagoa,39.05,-27.9833,22.83,90,0,8.65,PT,2021-08-05 19:51:48
183,Khatanga,71.9667,102.5,14.06,45,57,4.21,RU,2021-08-05 19:50:31
184,Bambous Virieux,-20.3428,57.7575,21.14,68,40,5.14,MU,2021-08-05 19:50:22
185,Riofrio,4.1571,-76.2885,31.14,55,60,1.63,CO,2021-08-05 19:51:48
186,Comodoro Rivadavia,-45.8667,-67.5,19.92,30,0,5.66,AR,2021-08-05 19:49:31
187,Karratha,-20.7377,116.8463,19.71,29,16,7.82,AU,2021-08-05 19:51:49
188,Saskylakh,71.9167,114.0833,9.0,69,12,2.79,RU,2021-08-05 19:51:49
189,Khovu-Aksy,51.1333,93.6,10.33,95,100,0.6,RU,2021-08-05 19:51:49
190,Kundiawa,-6.0167,144.9667,16.24,99,99,0.41,PG,2021-08-05 19:51:49
191,Arraial Do Cabo,-22.9661,-42.0278,22.98,78,40,4.63,BR,2021-08-05 19:51:50
192,Acarau,-2.8856,-40.12,28.04,66,53,7.69,BR,2021-08-05 19:50:09
193,Mar Del Plata,-38.0023,-57.5575,13.94,29,90,3.13,AR,2021-08-05 19:51:36
194,Nemuro,43.3236,145.575,20.31,96,71,1.47,JP,2021-08-05 19:48:21
