City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Yelahanka,IN,24.95,scattered clouds,13.1075,77.6003,Royal Orchid Resort & Convention Centre
564,Ucluelet,CA,21.16,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
568,Zaraza,VE,22.19,overcast clouds,9.3503,-65.3245,Hotel Zaraza
571,Pompeia,BR,20.27,few clouds,-22.1086,-50.1717,Hotel Pousada Vale do Sol
572,Praia Da Vitoria,PT,22.14,broken clouds,38.7333,-27.0667,Hotel Branco I
579,Banepa,NP,23.18,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
580,Suffolk,US,22.52,overcast clouds,40.8668,-72.7996,Greenwood Village
583,Fayaoue,NC,21.25,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
598,Aldan,RU,21.35,broken clouds,58.6031,125.3894,Aldan Guest House
600,Mubi,NG,21.02,light rain,10.2676,13.2644,Hotel
624,Rawlins,US,23.12,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
625,Taos,US,23.18,clear sky,36.4072,-105.5731,El Monte Sagrado
629,Deputatskiy,RU,23.84,few clouds,69.3,139.9,Baza Otdykha
635,Sao Joao Da Barra,BR,20.4,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
641,Bandarbeyla,SO,24.84,broken clouds,9.4942,50.8122,JABIR HOTEL
644,Dzaoudzi,YT,23.94,clear sky,-12.7887,45.2699,Le Rocher
645,Takoradi,GH,23.8,light rain,4.8845,-1.7554,Raybow International Hotel
646,Half Moon Bay,US,23.93,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
653,Sao Miguel Do Araguaia,BR,22.6,clear sky,-13.275,-50.1628,Hotel Executivo Palace
659,Tucupita,VE,23.07,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
669,Gladstone,AU,22.96,scattered clouds,-23.85,151.25,Highpoint International
673,Iowa City,US,24.8,clear sky,41.6611,-91.5302,Hampton Inn Iowa City/University Area
